date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:39:35	103/103	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Jul%202016%2019:09:51%20GMT	http://m.colincowie.com/robots.txt		(from )
00:39:35	8677/8677	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202016%2019:09:51%20GMT	http://m.colincowie.com/	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/index.html	(from )
00:39:36	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%227fa874c6db777d63a5102bf61f217ffa:1432047555%22	http://cloud.typography.com/6032292/654904/css/fonts.css	C:/My%20Web%20Sites/original_mbil/cloud.typography.com/6032292/654904/css/fonts.1.delayed	(from http://m.colincowie.com/)
00:39:38	33879/33879	---M-Z	200	added ('OK')	text/css	etag:%22080c0be7fd2cf1:0%22	http://m.colincowie.com/jquery-ui.css	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/jquery-ui.css	(from http://m.colincowie.com/)
00:39:41	32826/32826	---M-Z	200	added ('OK')	text/css	etag:%2201b82933658d01:0%22	http://m.colincowie.com/style.css	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/style.css	(from http://m.colincowie.com/)
00:39:41	95786/95786	---M-Z	200	added ('OK')	application/x-javascript	etag:%220626467bcdcf1:0%22	http://m.colincowie.com/js/jquery-1.11.1.min.js	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/js/jquery-1.11.1.min.js	(from http://m.colincowie.com/)
00:39:42	7281/7281	---M-Z	200	added ('OK')	application/x-javascript	etag:%2202dc764391cf1:0%22	http://m.colincowie.com/js/transit.js	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/js/transit.js	(from http://m.colincowie.com/)
00:39:44	2219/2219	---M-Z	200	added ('OK')	application/x-javascript	etag:%2202dc764391cf1:0%22	http://m.colincowie.com/js/custom.js	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/js/custom.js	(from http://m.colincowie.com/)
00:39:45	9003/9003	---M-Z	200	added ('OK')	application/x-javascript	etag:%2202dc764391cf1:0%22	http://m.colincowie.com/js/modernizr.custom.js	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/js/modernizr.custom.js	(from http://m.colincowie.com/)
00:39:47	2966/2966	---M-Z	200	added ('OK')	text/css	etag:%2201076726891cf1:0%22	http://m.colincowie.com/slider/refineslide.css	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/slider/refineslide.css	(from http://m.colincowie.com/)
00:39:49	8932/8932	---M-Z	200	added ('OK')	text/css	etag:%220d754c26891cf1:0%22	http://m.colincowie.com/slider/refineslide-theme-dark.css	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/slider/refineslide-theme-dark.css	(from http://m.colincowie.com/)
00:39:51	25171/25171	---M-Z	200	added ('OK')	application/x-javascript	etag:%2202dc764391cf1:0%22	http://m.colincowie.com/js/jquery.mCustomScrollbar.concat.min.js	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/js/jquery.mCustomScrollbar.concat.min.js	(from http://m.colincowie.com/)
